#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
 ;"h:m:s";"d:m:s";mag;mag; ; ;km/s;km/s;km/s; ; ;km/s;d;d; ;deg;deg
------;-----------;-----------;-----;------;----------;---------;--------;-------;-------;--;---;-------;-----;-----;------;----------;----------
   296;00 03 41.30;-28 23 45.1; 8.24; 0.780;G8V       ;nor      ;  10.963; 0.0078; 0.0117;VC;  4; 0.0059; 2994;53739;Simbad;000.922853;-28.396196
   407;00 04 58.63;-70 12 43.9; 8.13; 0.710;G5V       ;nor      ;  12.351; 0.0086; 0.0130;VC;  4; 0.0065; 3625;53319;Simbad;001.244650;-70.212445
   420;00 05 07.60;-52 09 05.1; 7.53; 0.577;G0V       ;nor      ;  34.889; 0.0086; 0.0129;VC;  4; 0.0065; 4376;53881;Simbad;001.281230;-52.151741
   466;00 05 34.91;+53 10 18.1; 7.23; 1.174;K0        ;fa       ;  -8.367; 0.0080; 0.0049;VC;  2; 0.0057;  321;55291;Simbad;001.395542;+53.171694
   556;00 06 46.94;-04 20 59.3; 8.21; 0.574;F8        ;nor      ;   0.113; 0.0104; 0.0165;VC;  3; 0.0095; 1092;55744;Simbad;001.695717;-04.350026
   616;00 07 32.34;-23 49 08.2; 8.70; 0.798;K0V       ;ni       ; -42.994; 0.0086; 0.0049;VC;  4; 0.0043; 3380;53629;Simbad;001.885587;-23.818719
   624;00 07 37.41;-45 07 09.5; 8.19; 0.584;F8/G0V    ;nor      ;  14.802; 0.0117; 0.0134;VC;  2; 0.0095;  725;55145;Simbad;001.905959;-45.119538
   699;00 08 41.02;+36 37 38.7; 6.21; 0.504;F8IV      ;ni,nor   ; -15.116; 0.0043; 0.0119;VC; 16; 0.0030; 5160;54912;Simbad;002.170576;+36.627125
   726;00 08 59.59;-39 44 13.6; 7.72; 0.620;G0V       ;nor      ; -19.322; 0.0123; 0.0198;VC;  3; 0.0115; 1104;55392;Simbad;002.248662;-39.737159
   791;00 09 48.45;-40 53 33.5; 8.57; 0.644;G3V       ;nor      ;  14.541; 0.0124; 0.0038;VC;  3; 0.0072; 1104;55392;Simbad;002.452329;-40.892934
   801;00 09 52.91;-50 16 04.0; 8.32; 0.595;G2/G3V    ;nor      ;  11.452; 0.0128; 0.0085;VC;  2; 0.0091;  725;55145;Simbad;002.470091;-50.267822
   867;00 10 39.10;+12 49 13.0; 8.47; 0.574;G5        ;nor      ;  32.121; 0.0060; 0.0313;VC;  8; 0.0111; 1771;54012;Simbad;002.663032;+12.820231
   980;00 12 06.84;+47 29 28.2; 7.36; 1.082;K0        ;fa       ;   4.408; 0.0096; 0.0405;VC;  3; 0.0234; 1092;55111;Simbad;003.028442;+47.491101
  1031;00 12 50.38;-57 54 45.7; 7.22; 0.775;K0V       ;nor      ;   1.301; 0.0075; 0.0097;VC;  4; 0.0048; 4433;53909;Simbad;003.209376;-57.912609
  1147;00 14 20.85;-21 11 47.0; 6.89; 0.502;F7V       ;nor      ; -13.874; 0.0153; 0.0035;VC;  2; 0.0108;  725;55145;Simbad;003.586667;-21.196962
  1206;00 15 04.56;-68 31 48.8; 8.57; 0.695;G6V       ;nor      ; -18.039; 0.0107; 0.0047;VC;  4; 0.0054; 4396;53839;Simbad;003.769307;-68.530100
